"satisfaction_level","last_evaluation","number_project","average_monthly_hours","time_spend_company","work_accident","left","promotion_last_5years","department","salary"
0.38,0.53,2,157,40,0,1,0,"sales","low"
0.8,0.86,5,262,65,0,1,0,"sales","medium"
0.11,0.88,7,272,54,0,1,0,"sales","medium"
0.72,0.87,5,223,60,0,1,0,"sales","low"
0.37,0.52,2,159,42,0,1,0,"sales","low"
0.41,0.5,2,153,35,0,1,0,"sales","low"
0.1,0.77,6,247,42,0,1,0,"sales","low"
0.92,0.85,5,259,59,0,1,0,"sales","low"
0.89,1,5,224,59,0,1,0,"sales","low"
0.42,0.53,2,142,43,0,1,0,"sales","low"
0.45,0.54,2,135,43,0,1,0,"sales","low"
0.11,0.81,6,305,44,0,1,0,"sales","low"
0.84,0.92,4,234,52,0,1,0,"sales","low"
0.41,0.55,2,148,43,0,1,0,"sales","low"
0.36,0.56,2,137,34,0,1,0,"sales","low"
0.38,0.54,2,143,39,0,1,0,"sales","low"
0.45,0.47,2,160,38,0,1,0,"sales","low"
0.78,0.99,4,255,68,0,1,0,"sales","low"
0.45,0.51,2,160,37,1,1,1,"sales","low"
0.76,0.89,5,262,60,0,1,0,"sales","low"
0.11,0.83,6,282,51,0,1,0,"sales","low"
0.38,0.55,2,147,41,0,1,0,"sales","low"
0.09,0.95,6,304,41,0,1,0,"sales","low"
0.46,0.57,2,139,38,0,1,0,"sales","low"
0.4,0.53,2,158,39,0,1,0,"sales","low"
0.89,0.92,5,242,65,0,1,0,"sales","low"
0.82,0.87,4,239,64,0,1,0,"sales","low"
0.4,0.49,2,135,35,0,1,0,"sales","low"
0.41,0.46,2,128,28,0,1,0,"accounting","low"
0.38,0.5,2,132,42,0,1,0,"accounting","low"
0.09,0.62,6,294,48,0,1,0,"accounting","low"
0.45,0.57,2,134,37,0,1,0,"hr","low"
0.4,0.51,2,145,35,0,1,0,"hr","low"
0.45,0.55,2,140,34,0,1,0,"hr","low"
0.84,0.87,4,246,68,0,1,0,"hr","low"
0.1,0.94,6,255,41,0,1,0,"technical","low"
0.38,0.46,2,137,35,0,1,0,"technical","low"
0.45,0.5,2,126,33,0,1,0,"technical","low"
0.11,0.89,6,306,46,0,1,0,"technical","low"
0.41,0.54,2,152,36,0,1,0,"technical","low"
